Country, Count
United States, 34459
United Kingdom, 5124
Unknown, 2660
Australia, 1343
Canada, 1095
Italy, 1081
Germany, 960
France, 821
Japan, 651
China, 603
India, 532
Denmark, 503
Spain, 461
Russia, 418
Netherlands, 409
Poland, 351
Taiwan, 280
Malaysia, 273
Norway, 249
Sweden, 245
Philippines, 208
Romania, 189
Puerto Rico, 188
Turkey, 181
Czechia, 174
Ireland, 174
Finland, 174
New Zealand, 164
Austria, 154
Mexico, 152
Belgium, 151
Switzerland, 141
South Korea, 140
Ukraine, 136
Brazil, 127
Portugal, 125
Argentina, 103
Thailand, 97
Greece, 89
Croatia, 86
Hungary, 83
Republic of Serbia, 83
Lithuania, 78
Slovenia, 73
Iran, 70
Peru, 66
South Africa, 65
Indonesia, 65
Slovakia, 63
Israel, 59
Estonia, 58
Egypt, 57
Bulgaria, 52
Latvia, 47
Azerbaijan, 47
North Korea, 45
Palestine, 44
Albania, 42
Pakistan, 41
Armenia, 41
Vietnam, 40
Chile, 35
Syria, 33
Myanmar, 32
United Arab Emirates, 32
Belarus, 30
Bosnia and Herzegovina, 30
Georgia, 29
Colombia, 28
Bangladesh, 28
Venezuela, 28
Cuba, 27
Uzbekistan, 25
Ghana, 24
Kazakhstan, 24
Saudi Arabia, 22
Algeria, 20
Luxembourg, 20
Iceland, 20
Nigeria, 17
Cambodia, 16
Ecuador, 15
Sri Lanka, 15
Morocco, 14
Guatemala, 14
Kenya, 14
North Macedonia, 12
Paraguay, 11
Montenegro, 11
Kosovo, 10
Dominican Republic, 10
Iraq, 10
Jordan, 10
Moldova, 10
Lebanon, 9
Czech Republic, 9
Malta, 8
Senegal, 8
Sudan, 8
Northern Cyprus, 7
East Timor, 7
Mongolia, 7
Namibia, 7
Ethiopia, 7
Yemen, 6
Jamaica, 6
Zimbabwe, 6
Kyrgyzstan, 6
Bhutan, 6
Tunisia, 6
Uruguay, 6
Greenland, 6
Costa Rica, 5
Mozambique, 5
Micronesia, 5
Bolivia, 5
Laos, 5
Haiti, 5
Uganda, 5
Democratic Republic of the Congo, 5
Trinidad and Tobago, 5
Hong Kong S.A.R., 5
Cyprus, 4
Angola, 4
Somalia, 4
Antarctica, 4
Afghanistan, 4
Mali, 4
Nepal, 4
El Salvador, 3
Eritrea, 3
Guinea-Bissau, 3
Suriname, 3
Serbia, 3
Nicaragua, 3
Cameroon, 3
Cape Verde, 2
Zambia, 2
Honduras, 2
Guyana, 2
United Republic of Tanzania, 2
Virgin Islands (US), 1
Falkland Islands, 1
Benin, 1
Burkina Faso, 1
Libya, 1
